Model,Fold,RMSE,MAE,MBE,R2
null,A,0.93,-0.5,0.79,n.d.
null,B,0.75,0.08,0.57,n.d.
null,C,0.8,0.3,0.6,n.d.
null,D,0.83,0.13,0.62,n.d.
linear,A,1.06,-0.78,0.93,0.17
linear,B,0.7,0.07,0.51,0.18
linear,C,0.94,0.59,0.7,0.15
linear,D,0.83,0.1,0.63,0.04
xgboost,A,0.88,-0.45,0.72,0.11
xgboost,B,0.74,-0.02,0.53,0.19
xgboost,C,0.83,0.5,0.61,0.22
xgboost,D,0.83,0.11,0.63,0.04
cnn2,A,0.73,-0.19,0.57,0.18
cnn2,B,0.68,0.13,0.47,0.29
cnn2,C,0.63,0.02,0.45,0.3
cnn2,D,0.84,0.28,0.62,0.1
cnn3,A,0.8,-0.37,0.67,0.08
cnn3,B,0.67,0.17,0.48,0.27
cnn3,C,0.77,-0.24,0.61,0.37
cnn3,D,0.9,0.45,0.67,0.06